Section,Sub-Section,Item #,Checklist Item,Status,Action Required
0.1 Source Code Transfer,,1,All source code repositories listed by name and URL,Not Completed,List all repos with names and URLs
0.1 Source Code Transfer,,2,Frontend repository received and cloned,Not Completed,Receive and clone frontend repo
0.1 Source Code Transfer,,3,Backend repository received and cloned,Not Completed,Receive and clone backend repo
0.1 Source Code Transfer,,4,Shared library/common module repositories received,Not Completed,Receive shared library/common module repos
0.1 Source Code Transfer,,5,Infrastructure-as-code repository received (if any),Not Completed,Receive IaC repo if applicable
0.1 Source Code Transfer,,6,Deployment scripts repository received (if any),Not Completed,Receive deployment scripts repo if applicable
0.1 Source Code Transfer,,7,Documentation repository or wiki access received,Not Completed,Get access to documentation repo or wiki
0.1 Source Code Transfer,,8,Correct production branch identified,Not Completed,Identify the correct production branch
0.1 Source Code Transfer,,9,Latest production tag/commit SHA identified,Not Completed,Identify latest production tag/commit SHA
0.1 Source Code Transfer,,10,Production artifact verified to match a known repo commit (deployed image tag/JAR matches source),Not Completed,Verify deployed artifact matches a known repo commit
0.1 Source Code Transfer,,11,Current development branch identified,Not Completed,Identify the current development branch
0.1 Source Code Transfer,,12,"In-flight work identified: open PRs, unreleased hotfixes, half-merged feature branches",Not Completed,"Identify all open PRs, unreleased hotfixes, and half-merged branches"
0.1 Source Code Transfer,,13,Repository access tested by cloning locally,Not Completed,Test repo access by cloning locally
0.1 Source Code Transfer,,14,Permission to create branch confirmed and tested,Not Completed,Confirm and test branch creation permission
0.1 Source Code Transfer,,15,Permission to push branch confirmed and tested,Not Completed,Confirm and test branch push permission
0.1 Source Code Transfer,,16,Permission to create PR/MR confirmed and tested,Not Completed,Confirm and test PR/MR creation permission
0.1 Source Code Transfer,,17,"Repo admin/maintainer ownership transferred, if required",Not Completed,Transfer repo admin/maintainer ownership if required
0.1 Source Code Transfer,,18,"Git LFS configured, if the repo uses large binary assets",Not Completed,Configure Git LFS if applicable
0.1 Source Code Transfer,,19,"Private npm registry access received and tested, if applicable",Not Completed,Get and test private npm registry access if applicable
0.1 Source Code Transfer,,20,"Private Maven/Gradle repository (Nexus, Artifactory) access received and tested, if applicable",Not Completed,Get and test private Maven/Gradle repo access if applicable
0.2 Application Access,,1,Local environment setup instructions received,Not Completed,Receive local environment setup instructions
0.2 Application Access,,2,Dev environment URL received and login tested,Not Completed,Get dev environment URL and test login
0.2 Application Access,,3,QA/UAT/staging environment URL received and login tested,Not Completed,Get QA/UAT/staging URL and test login
0.2 Application Access,,4,"Pre-production environment URL received and login tested, if any",Not Completed,Get pre-prod URL and test login if applicable
0.2 Application Access,,5,Production environment URL received,Not Completed,Receive production environment URL
0.2 Application Access,,6,Test user accounts received with credentials,Not Completed,Receive test user accounts with credentials
0.2 Application Access,,7,"Admin user account received, if applicable",Not Completed,Receive admin user account if applicable
0.2 Application Access,,8,Role/permission matrix received (which role can do what),Not Completed,Receive role/permission matrix
0.2 Application Access,,9,VPN access received and connection tested,Not Completed,Get VPN access and test connection
0.2 Application Access,,10,SSO access received and login tested,Not Completed,Get SSO access and test login
0.2 Application Access,,11,"Firewall/IP allowlist access confirmed, if required",Not Completed,Confirm firewall/IP allowlist access if required
0.2 Application Access,,12,"Cloud IAM roles/permissions granted (specific policies, not just console access)",Not Completed,Get specific Cloud IAM roles/permissions
0.2 Application Access,Third-party service accounts,13,"Email service (SendGrid, SES, etc.)",Not Completed,Receive email service account access
0.2 Application Access,Third-party service accounts,14,SMS/notification service,Not Completed,Receive SMS/notification service account access
0.2 Application Access,Third-party service accounts,15,"Payment gateway, if applicable",Not Completed,Receive payment gateway access if applicable
0.2 Application Access,Third-party service accounts,16,External API accounts with credentials,Not Completed,Receive external API accounts with credentials
0.2 Application Access,Third-party service accounts,17,Any other SaaS/vendor portals,Not Completed,Receive any other SaaS/vendor portal access
0.3 Build And Run Verification,,1,"Required Java version confirmed (exact version, e.g., JDK 17.0.x)",Not Completed,Confirm exact Java version required
0.3 Build And Run Verification,,2,"Required Node.js version confirmed (exact version, e.g., 18.x)",Not Completed,Confirm exact Node.js version required
0.3 Build And Run Verification,,3,"Required Angular version confirmed (exact version, e.g., 16.x)",Not Completed,Confirm exact Angular version required
0.3 Build And Run Verification,,4,Required Maven/Gradle version confirmed,Not Completed,Confirm exact Maven/Gradle version required
0.3 Build And Run Verification,,5,Required npm/yarn/pnpm version confirmed,Not Completed,Confirm exact npm/yarn/pnpm version required
0.3 Build And Run Verification,,6,Docker and Docker Compose installed and working,Not Completed,Install and verify Docker and Docker Compose
